,1stIn
0,-1.911764705882355
1,2.0972222222222143
2,
3,3.3333333333333286
4,-18.400000000000006
5,-0.5238095238095255
6,-2.8489819208569216
7,4.75784941249227
8,4.058976190476187
9,
10,-10.467281105990786
11,-2.597101449275364
12,-1.6588050314465477
13,-7.266666666666666
14,-4.972199106179701
15,-18.0
16,2.990476190476194
17,
18,5.114074074074068
19,1.0572389306599845
20,-1.4755411255411204
21,9.488095238095234
22,
23,4.28149001536098
24,-0.0833333333333357
25,
26,-5.214444444444439
27,6.283333333333331
28,-5.416666666666664
29,
30,3.260194805194814
31,5.958333333333329
32,-1.144666666666673
33,15.333333333333336
34,-2.8866496598639486
35,-3.0731819859726883
36,2.7954022988505756
37,-1.5271317829457445
38,
39,-3.428827490592191
40,5.222222222222221
41,-8.083150183150188
42,
43,-5.704068716094028
44,
45,
46,5.928306878306884
47,
48,-3.9187074829931916
49,4.325347222222213
50,-6.004687500000003
51,-2.6356316137566154
52,-4.939999999999998
53,13.274999999999999
54,
55,-4.325028636884298
56,
57,8.517006802721085
58,5.221815948601666
59,8.05072463768115
60,-6.333333333333336
61,-3.8780075187969913
62,
63,-4.618055555555557
64,
65,4.058976190476187
66,
67,
68,2.51598277608916
69,
70,
71,-1.7053156146179447
72,
73,1.9040740740740745
74,-2.806918767507007
75,
76,-2.5959349593495915
77,7.576086956521728
78,1.42255411255411
79,
80,-11.349206349206348
81,-1.076027397260269
82,
83,
84,5.385622710622705
85,9.25
86,
87,-7.535714285714285
88,
89,
90,
91,41.0
92,-5.729166666666664
93,
94,
95,1.1913194444444457
96,
97,21.57142857142857
98,-4.41757624398074
99,-6.308888888888887
100,-1.1874368686868664
101,6.069518037518037
102,-1.2244922969187684
103,14.335884353741491
104,
105,
106,0.7005555555555532
107,
108,
109,
110,-11.056173340548334
111,-6.072829131652661
112,-9.081971291730646
113,
114,
115,-10.091386554621856
116,
117,
118,-2.750978814695621
119,
120,4.020833333333336
121,6.81944444444445
122,8.8463696369637
123,-20.454545454545453
124,
125,
126,
127,11.71639784946236
128,
129,
130,25.0
131,
132,-10.61212121212121
133,
134,-4.666666666666671
135,2.6011904761904816
136,6.229310344827589
137,-11.813405797101453
138,-4.0
139,2.4619356833642527
140,3.7034482758620726
141,-7.082111111111111
142,
143,24.5
144,6.899561403508777
145,
146,10.625
147,-6.360445660858879
148,
149,
150,
151,1.043367915609295
152,
153,
154,-3.3333333333333357
155,
156,1.6819892473118259
157,-6.243859649122811
158,-2.4934764841844483
159,
160,
161,
162,-4.041666666666671
163,
164,
165,1.8795005807200909
166,-2.2785000590274507
167,
168,-1.4959876543209987
169,10.18412698412699
170,2.0596361185983767
171,
172,
173,
174,
175,
176,
177,
178,-13.333333333333329
179,
180,-6.2982142857142875
181,7.043209876543209
182,
183,
184,19.66666666666667
185,
186,
187,
188,
189,
190,4.633259259259262
191,-5.715205415499547
192,
193,
194,2.3431372549019684
195,
196,2.869753086419749
197,4.355948601662874
198,
199,-5.122023975709297
200,-3.339252645502647
201,0.8081724581724501
202,
203,
204,
205,
206,49.0
207,-0.15625
208,2.742549261083738
209,
210,
211,8.367596726190477
212,
213,
214,
215,0.44895833333333
216,
217,-9.090530303030299
218,
219,4.75784941249227
220,15.0
221,
222,-2.024336455893838
223,
224,-3.6527777777777715
225,2.441579558652734
226,-2.701883345930952
227,-37.0
228,
229,
230,6.456354166666678
231,-3.392455507455516
232,10.690476190476197
233,
234,
235,5.896998215026144
236,-2.6183006535947726
237,-6.820109546165881
238,
239,11.416666666666664
240,5.291666666666664
241,-9.5625
242,
243,
244,
245,
246,
247,0.5987654320987659
248,
249,
250,-4.143730158730165
251,
252,-1.108265864754408
253,
254,56.5
255,
256,
257,
258,12.064987789987782
259,
260,-14.0
261,-0.9805764411027553
262,
263,
264,2.5013608613608582
265,9.25555555555556
266,
267,-0.7843137254902004
268,-4.583333333333336
269,3.207515991471219
270,
271,
272,
273,2.6461392195767246
274,2.42671957671957
275,4.753158406219633
276,
277,13.357142857142861
278,-2.9827586206896584
279,1.3060767590618383
280,-5.597556849280991
281,-10.767499999999998
282,
283,15.2326388888889
284,2.052829131652665
285,9.304661266021562
286,2.5117886178861752
287,
288,
289,-11.351851851851855
290,-2.75
291,
292,5.262934362934374
