,1stWon
0,-3.1764705882352935
1,2.2083333333333286
2,
3,5.333333333333329
4,-13.0
5,4.507936507936506
6,-2.0155590936840895
7,3.4260289115646216
8,2.117333333333331
9,
10,-2.6017281105990975
11,-3.422826086956526
12,1.2886792452830207
13,-8.68530701754386
14,-2.327346278317158
15,-16.666666666666668
16,5.266666666666666
17,
18,6.213703703703704
19,2.7546073517126217
20,-4.9621632996633025
21,-1.043650793650798
22,
23,7.520967741935483
24,3.833333333333332
25,
26,-7.534444444444443
27,1.6508333333333347
28,0.25
29,
30,1.066731601731604
31,9.333333333333336
32,-3.212666666666671
33,5.666666666666664
34,-2.6571712018140516
35,-5.954388150609077
36,4.655747126436779
37,3.9798449612403104
38,
39,-3.25272826302238
40,5.703703703703706
41,-9.740256410256414
42,
43,-0.09516503187388992
44,
45,
46,2.0383597883597844
47,
48,3.688367346938776
49,4.051011904761914
50,-1.1744791666666572
51,-1.6873181216931172
52,1.0133333333333354
53,5.191666666666666
54,
55,-2.5814351170021297
56,
57,4.765306122448983
58,4.616260393046105
59,6.8405797101449295
60,1.722222222222225
61,-6.2922619047619115
62,
63,-3.5
64,
65,2.117333333333331
66,
67,
68,-0.01881965552177789
69,
70,
71,2.728543743078628
72,
73,-0.08915343915343499
74,2.0373389355742226
75,
76,-2.9256097560975647
77,4.615942028985508
78,1.8668253968253978
79,
80,-4.0714285714285765
81,1.4687214611872186
82,
83,
84,5.691520146520148
85,6.5
86,
87,-5.666666666666664
88,
89,
90,
91,28.0
92,-1.7645833333333307
93,
94,
95,1.4451388888888843
96,
97,18.223214285714285
98,-2.470336186909222
99,-3.1822222222222187
100,-1.3421717171717198
101,3.6022578162578185
102,-2.208841036414576
103,16.66836734693878
104,
105,
106,2.0744444444444383
107,
108,
109,
110,-6.617861652236655
111,-4.099299719887956
112,-6.83490513744524
113,
114,
115,-0.3098739495798313
116,
117,
118,-3.018141592920351
119,
120,4.505208333333332
121,10.111111111111118
122,7.702318088951756
123,-16.212121212121207
124,
125,
126,
127,4.436290322580646
128,
129,
130,20.0
131,
132,-10.91363636363636
133,
134,0.93333333333333
135,0.75
136,0.7793103448275787
137,-7.321376811594202
138,-3.0
139,3.1276489383632224
140,9.327586206896555
141,-7.499857142857145
142,
143,17.5
144,7.3478070175438575
145,
146,8.75
147,-4.781791051005932
148,
149,
150,
151,2.5457976314872823
152,
153,
154,-7.0000000000000036
155,
156,-2.702956989247312
157,-2.7488304093567244
158,-1.7354927275281185
159,
160,
161,
162,3.0208333333333357
163,
164,
165,0.8562427409988373
166,-5.108547441965285
167,
168,-0.7437654320987619
169,5.976129426129432
170,1.7190887990416215
171,
172,
173,
174,
175,
176,
177,
178,-10.0
179,
180,-4.101190476190478
181,2.9351851851851904
182,
183,
184,20.166666666666664
185,
186,
187,
188,
189,
190,1.8255555555555532
191,-2.6407236227824455
192,
193,
194,-2.2303921568627487
195,
196,-1.7777777777777715
197,-1.097772280629428
198,
199,-6.654358278543256
200,2.1048611111111164
201,2.3509867009866987
202,
203,
204,
205,
206,33.0
207,-2.673214285714291
208,3.5874589490968845
209,
210,
211,8.949851190476195
212,
213,
214,
215,-3.556640625
216,
217,-4.392532467532465
218,
219,3.4260289115646216
220,8.75
221,
222,0.14283437418683675
223,
224,0.1041666666666643
225,0.006445993031363173
226,-0.2770912068531075
227,-21.0
228,
229,
230,4.181016865079371
231,-0.9331645823312513
232,16.707936507936513
233,
234,
235,6.7094883451527565
236,-1.3983660130718967
237,-5.734607645875251
238,
239,11.166666666666664
240,2.4583333333333357
241,-3.6770833333333286
242,
243,
244,
245,
246,
247,0.5648148148148131
248,
249,
250,-2.989285714285714
251,
252,-1.2753059493517505
253,
254,38.5
255,
256,
257,
258,12.910470085470095
259,
260,-17.166666666666668
261,2.1449874686716797
262,
263,
264,2.2556327006327024
265,5.583333333333336
266,
267,2.4117647058823515
268,-1.6861111111111136
269,2.8421997157071672
270,
271,
272,
273,2.586879960317461
274,0.14868827160493936
275,-1.4467930029154523
276,
277,6.214285714285715
278,-2.0833333333333286
279,-0.8530206112295602
280,-5.1709913171120085
281,-7.396666666666668
282,
283,9.968750000000004
284,1.6149579831932748
285,11.087095800441382
286,1.3707317073170735
287,
288,
289,-0.9814814814814774
290,1.0
291,
292,2.807882882882886
293,-11.673076923076916
294,-3.26221155128718
295,-4.059159668478721
296,1.6252976190476218
297,
298,-7.083333333333336
299,
300,
301,
302,6.542055741927868
303,-10.994949494949495
304,0.02675371223759271
305,-9.875
306,7.0345767195767195
307,-5.406770833333333
308,
309,
310,-3.0
311,
312,
313,4.166666666666668
314,
315,
316,-6.0
317,
318,-4.645721545721557
319,-0.8141414141414103
320,0.6668430335097
321,7.995039682539691
322,-1.461016949152544
323,1.0945945945946036
324,1.7654761904761926
325,1.1360742630385516
326,27.5
327,2.4173475829725852
328,
329,-0.9861111111111143
330,1.0244949494949438
331,
332,-0.507479557479563
333,5.166666666666664
334,-4.333333333333329
335,4.47682226399332
336,4.0
337,0.09439585357952751
338,-1.661176470588238
339,1.5528138528138484
340,
341,
342,4.993000000000002
343,44.0
344,
345,5.44444444444445
346,
347,-3.4626650660264175
348,4.873639455782307
349,-10.666666666666668
350,
351,4.7404761904761905
352,
353,
354,-2.8771126760563313
355,-0.8565581914584044
356,
357,
358,-14.041666666666671
359,
360,0.4279556650246299
361,
362,0.49053156146179333
363,-4.770833333333336
364,2.599999999999998
365,0.1907051282051384
366,
367,
368,2.159786961531143
369,2.3442982456140378
370,4.360151828847478
371,
372,4.767543859649123
373,
374,
375,
376,26.5
377,2.409429212762543
378,
379,
380,1.0434133695761645
381,
382,-1.0708850931676963
383,-2.117333333333331
384,
385,0.4677380952381043
386,
387,
388,0.3445945945945894
389,
390,
391,
392,0.5
393,
394,1.387179487179484
395,0.05000000000000071
396,-10.033796296296302
397,4.202292711285516
398,-16.0
399,-3.910524140211642
400,-17.0
401,-11.200000000000003
402,-0.9449735449735535
403,
404,
405,
406,18.42519841269841
407,-4.701441189927575
408,3.2256405449318777
409,1.9854737854737898
410,-0.7513038548752711
411,-6.807907871052201
412,
413,
414,
415,
416,
417,
418,-2.699544072948324
419,
420,-4.46641865079366
421,7.875093326472001
422,
423,0.08714154892726356
424,-0.869666841095416
425,5.165865960020376
426,-14.080459770114942
427,-0.326666666666668
428,
429,-2.8845097803431123
430,
431,-5.495436507936514
432,-0.0016666666666722563
433,-1.2562500000000014
434,0.4833333333333343
435,
436,
437,0.3026004728132392
438,
439,
440,
441,
442,
443,
444,
445,-3.3195278679653626
446,
447,
448,6.428571428571431
449,
450,-1.9942528735632195
451,0.7916666666666643
452,1.2987060041407865
453,1.537080405932869
454,5.5
455,
456,0.2798208392267796
457,
458,
459,
460,
461,1.7190887990416215
462,1.3064240790655788
463,-1.8350316115146619
464,8.0
465,0.8909370199692788
466,6.119318181818183
467,3.0
468,
469,0.9682539682539755
470,-4.1556666666666615
471,
472,3.0398054620276795
473,-6.310841983852363
474,
475,
476,
477,0.0
478,-1.4694047619047588
479,1.1434343434343432
480,
481,1.8668253968253978
482,-5.463363392249185
483,-0.3963002389231889
484,
485,2.9481079106079093
486,-2.072381983096271
487,
488,1.9795238095238048
489,
490,-3.1482433611164993
491,5.536060606060602
492,5.4446064139941655
493,6.223684210526315
494,
495,
496,1.1370967741935374
497,
498,-3.466447368421054
499,4.9571428571428555
500,
501,
502,
503,
504,
505,
506,
507,6.732843137254903
508,-1.125
509,-1.7398989898989825
510,
511,
512,-0.7052795031055901
513,
514,
515,
516,4.083333333333336
517,
518,
519,
520,3.1869047619047564
521,
522,
523,
524,
525,
526,-0.8907578084997496
527,
528,
529,
530,1.5767161850495128
531,5.0
532,
533,-5.961425453978645
534,-13.045454545454543
535,-13.833333333333329
536,24.0
537,
538,2.8195684523809526
539,-13.566666666666666
540,-7.968305504019792
541,
542,
543,9.980158730158731
544,-0.5249381174381185
545,
546,3.0985854341736676
547,
548,8.58878306878307
549,2.31818181818182
550,0.9748062015503898
551,-3.73456790123457
552,0.7746913580246897
553,
554,3.4285714285714306
555,
556,-3.559063784799072
557,
558,6.266666666666662
559,
560,0.33612526713793045
561,-2.2137258099586923
562,
563,0.5
564,3.0
565,2.586879960317461
566,-17.8
567,
568,-1.5617580020989053
569,0.8666666666666671
570,
571,
572,
573,0.9802051123479814
574,-0.4166666666666643
575,0.03959300800210386
576,
577,
578,
579,5.233333333333338
580,
581,
582,
583,4.5
584,-5.833333333333332
585,1.2238425925925966
586,
587,
588,
589,
590,2.671428571428571
591,
592,-2.9916069295101515
593,
594,7.390659340659337
595,-7.0
596,
597,
598,
599,2.7857142857142847
600,
601,
602,-4.441843971631201
603,-6.1618952213993445
604,-1.9387755102040813
605,
606,10.8
607,5.3452380952380985
608,
609,-0.8563025431132019
610,-2.564102564102562
611,-5.913793103448274
612,
613,
614,
615,-5.449512987012994
616,
617,-7.373245614035092
618,0.5435884417365884
619,5.604997383568811
620,-1.1887200270178937
621,-15.125
622,-1.2470553751803735
623,
624,
625,
626,
627,
628,
629,
630,5.0
631,0.9802051123479814
632,
633,-7.564705882352939
634,2.7891941391941444
635,-1.580500301386376
636,
637,2.9027210884353742
638,-6.3797584838533155
639,-1.078869047619051
640,-1.1981269841269722
641,-8.375000000000004
642,6.356382978723413
643,-5.185876098012013
644,
645,-1.8856950844854055
646,
647,4.375641025641027
648,-2.2687641723355974
649,2.0238095238095255
650,
651,
652,
653,-8.23076923076923
654,
655,
656,-7.963333333333331
657,
658,
659,
660,6.94047619047619
661,1.6749476236775749
662,-0.642751322751316
663,-4.166666666666671
664,
665,4.277430972388959
666,-2.3063221051132317
667,-4.3231707317073145
668,-1.1776315789473628
669,
670,
671,
672,-1.5593984962406076
673,
674,
675,
676,
677,
678,
679,-4.32544420753376
680,
681,
682,
683,-1.7170968948746719
684,
685,1.9585585585585612
686,
687,10.1875
688,
689,-2.695647907647917
690,-0.4117424242424228
691,7.090277777777779
692,-2.653100775193799
693,-0.10972222222221717
694,
695,
696,3.2744680851063848
697,
698,
699,-1.658024691358026
700,
701,
702,
703,
704,
705,
706,
707,9.75
708,-4.140010351966875
709,-3.0201149425287284
710,
711,14.5
712,-21.71466666666667
713,-1.002236652236654
714,-0.04120370370370807
715,
716,
717,-0.16458333333333997
718,2.0155590936840895
719,0.7084106369820731
720,
721,0.33333333333333215
722,
723,-2.2623693379790986
724,
725,-2.4623700054734527
726,
727,
728,-4.2995614035087755
729,-0.797727272727272
730,-4.43723958333333
731,
732,-7.383001345501349
733,
734,
735,
736,
737,2.526218161683282
738,-7.233333333333324
739,
740,-4.35032679738562
741,36.0
742,7.481981981981988
743,
744,5.844812925170068
745,
746,
747,
748,
749,
750,
751,
752,
753,1.9828192640692706
754,7.372448979591841
755,
756,
757,4.658263305322123
758,0.28192080780576845
759,29.0
760,
761,3.75357142857143
762,
763,
764,
765,-1.7637852514743315
766,-4.103995729073127
767,4.250216450216456
768,
769,-0.37940291415900873
770,8.752604166666664
771,4.358821733821735
772,
773,
774,
775,
776,
777,1.9001769626769658
778,3.9166666666666643
779,
780,-2.2556327006327024
781,
782,-1.9543078828812739
783,
784,
785,8.994415408439796
786,-1.5116787918871282
787,
788,-20.530303030303035
789,5.5000000000000036
790,-13.333333333333332
791,9.459595959595948
792,
793,
794,
795,-7.347560975609756
796,
797,
798,
799,
800,6.964285714285715
801,13.686488095238104
802,
803,-7.944444444444446
804,3.3807692307692285
805,
806,-3.845899470899468
807,4.411594202898552
808,-1.3258305647840487
809,3.6687830687830782
810,2.464957264957256
811,
812,
813,
814,
815,
816,-2.595238095238095
817,1.9907348416782327
818,
819,
820,
821,
822,
823,-1.7933333333333294
824,-0.16072087332956642
825,-2.2314543889845027
826,
827,
828,
829,4.322619047619046
830,-0.9622222222222305
831,-1.027380952380959
832,3.4822916666666686
833,0.3095238095238102
834,-0.6753236732403352
835,
836,
837,-4.391854884246186
838,
839,-5.908694083694083
840,-1.577992840492847
841,
842,
843,3.1945702445702366
844,-6.229936579151435
845,3.1276489383632224
846,
847,-3.7260133805588325
848,
849,4.296031746031744
850,
851,0.5748880748880723
852,-4.277430972388959
853,
854,
855,
856,-1.5623456790123456
857,
858,
859,
860,
861,-0.25
862,
863,1.0944099378882015
864,
865,-1.0721428571428575
866,2.545240638990638
867,-8.844444444444441
868,
869,
870,5.968877551020412
871,1.3064240790655788
872,-7.305151515151515
873,
874,
875,2.5628654970760287
876,-3.4336879432624166
877,22.0
878,
879,
880,-38.0
881,
882,2.711309523809515
883,-1.169607843137257
884,0.3382352941176521
885,
886,
887,
888,-3.736067623396387
889,-1.9357945425361152
890,
891,
892,-1.874994331065757
893,-1.7876923076923
894,
895,-4.611111111111114
896,6.689025297619043
897,-8.0
898,6.298685515873014
899,
900,
901,0.3333333333333286
902,3.90909090909091
903,
904,
905,-5.238888888888894
906,9.806451612903228
907,
908,12.5625
909,
910,
911,-2.018205128205139
912,
913,
914,-3.233128520225293
915,
916,5.646202256944445
917,
918,2.9264227642276524
919,
920,4.415833333333328
921,-0.05213464696223724
922,-1.5109217171717262
923,-4.310950491307636
924,
925,1.9533333333333367
926,-7.1667898193760315
927,-2.1385354141656734
928,
929,3.0666666666666664
930,-4.875
931,0.05690511786337282
932,1.7637852514743315
933,-21.355555555555554
934,-4.97904896421846
935,
936,
937,
938,33.5
939,
940,-1.4270270270270196
941,
942,-1.279320430812973
943,
944,
945,
946,8.811514441842313
947,1.8856950844854055
948,2.5166185666185683
949,-4.659607317105248
950,
951,
952,15.25
953,6.131904761904764
954,0.19189342403628018
955,-6.984068627450984
956,
957,
958,
959,-0.9988095238095234
960,
961,
962,
963,
964,
965,
966,
967,-0.614635854341735
968,
969,
970,6.833333333333332
971,
972,-5.34071038251367
973,
974,
975,
976,4.438732993197277
977,
978,
979,-1.868379281537166
980,-2.525476190476187
981,41.5
982,4.338120039682536
983,-4.695698924731179
984,-1.330077922077919
985,
986,-3.8000000000000007
987,
988,-11.75
989,-3.0375377400377346
990,1.713468720821659
991,
992,-0.9691029900332246
993,4.200000000000003
994,-5.790229885057471
995,
996,-8.5
997,35.0
998,5.428571428571431
999,-2.75
1000,6.0098958333333385
1001,-3.7048064418434734
1002,
1003,
1004,
1005,
1006,-0.9335119047619003
1007,6.183858998144718
1008,2.222222222222225
1009,
1010,0.9121621621621685
1011,
1012,
1013,
1014,
1015,
1016,
1017,
1018,
1019,-6.690370370370367
1020,
1021,
1022,-1.9934307056155767
1023,-3.619819819819824
1024,10.0
1025,
1026,-2.3912429378531144
1027,6.733263305322126
1028,1.668452380952381
1029,2.0212121212121197
1030,
1031,
1032,
1033,
1034,-1.7916666666666679
1035,
1036,4.8464550264550255
1037,1.7141025641025713
1038,
1039,
1040,5.408129267084487
1041,3.691203703703703
1042,3.015460789210792
1043,2.7891941391941444
1044,
1045,
1046,-2.93010752688172
1047,
1048,4.781791051005932
1049,
1050,-3.7916666666666643
1051,
1052,2.2963888888888846
1053,13.166666666666668
1054,-3.3561177248677225
1055,-6.753921568627447
1056,-14.994135802469135
1057,-0.19130952380952948
1058,-6.3596491228070136
1059,-5.954388150609077
1060,-6.523214285714285
1061,
1062,-2.768407960199003
1063,-5.810416666666669
1064,-0.6753236732403352
1065,
1066,5.986111111111111
1067,
1068,7.530087505087501
1069,
1070,-7.320760233918133
1071,-4.98162878787879
1072,-8.0
1073,4.521230158730155
1074,-20.0
1075,-7.046332950851028
1076,
1077,
1078,3.0137566137566196
1079,-5.230158730158731
1080,
1081,
1082,1.2657657657657708
1083,-6.690370370370367
1084,
1085,-25.0
1086,
1087,
1088,17.3125
1089,
1090,0.0762648809523796
1091,
1092,3.5
1093,
1094,37.5
1095,-1.615909090909092
1096,1.6749476236775749
1097,-5.655833333333334
1098,
1099,-5.15153890824622
1100,-2.844497354497353
1101,-7.757037724180584
1102,-5.473800397463489
1103,0.866534391534401
1104,22.5
1105,9.271406024531025
1106,2.96709401709402
1107,0.7956004140786739
1108,3.2721861471861473
1109,-0.18423423423423912
1110,
1111,-1.1166666666666671
1112,1.0519267546375914
1113,1.0455136326761334
1114,-4.449999999999996
1115,0.8563025431132019
1116,
1117,
1118,-2.3297101449275317
1119,-0.07395743145742983
1120,-0.7399749373433622
1121,
1122,
1123,
1124,5.300000000000001
1125,2.086363636363636
1126,24.5
1127,1.6802005012531325
1128,0.690112994350276
1129,
1130,12.5
1131,
1132,
