,2ndWon
0,-2.1960784313725483
1,-2.4479166666666696
2,
3,-1.3333333333333321
4,-9.6
5,-1.1825396825396854
6,1.8634292790542784
7,1.1832305194805226
8,-1.480261904761905
9,
10,3.393509984639019
11,1.253260869565219
12,1.3374213836477988
13,0.9192982456140406
14,2.634026814609342
15,-13.666666666666666
16,6.392857142857141
17,
18,-1.3666666666666671
19,-1.3886758563074366
20,-0.8422919672919686
21,-2.7658730158730176
22,
23,6.794316436251922
24,-1.75
25,
26,1.065555555555557
27,0.08833333333333826
28,1.4345238095238084
29,
30,0.9340043290043241
31,-4.208333333333332
32,-4.118
33,6.333333333333334
34,-0.2517290249433124
35,-0.8344961240310127
36,1.2140804597701145
37,2.9790697674418603
38,
39,-3.106327985739748
40,0.11111111111111072
41,-2.365787545787544
42,
43,2.929323981222719
44,
45,
46,-2.260582010582011
47,
48,7.506326530612245
49,-2.3861309523809524
50,1.082812500000001
51,1.0391369047619037
52,4.813333333333334
53,-4.241666666666669
54,
55,3.733468335787924
56,
57,-4.040816326530612
58,-0.10926870748299322
59,-0.7572463768115938
60,6.944444444444446
61,-4.366791979949875
62,
63,-1.6944444444444446
64,
65,-1.480261904761905
66,
67,
68,-0.9040780141843996
69,
70,
71,1.7060908084163877
72,
73,-0.851984126984128
74,4.859677871148461
75,
76,-3.3898373983739845
77,1.2210144927536213
78,1.0295093795093777
79,
80,1.0952380952380985
81,3.9888127853881237
82,
83,
84,1.0413369963369927
85,-5.625
86,
87,-0.14285714285714235
88,
89,
90,
91,12.0
92,2.1354166666666643
93,
94,
95,-0.517708333333335
96,
97,0.6071428571428577
98,-0.11441055823078372
99,-0.4244444444444433
100,-0.07195165945165982
101,-5.247270803270805
102,1.7849614845938344
103,-3.064625850340139
104,
105,
106,3.839444444444444
107,
108,
109,
110,3.853143037518036
111,-1.5001400560224099
112,-2.5102082706360793
113,
114,
115,0.4254201680672285
116,
117,
118,1.6286863578898956
119,
120,-1.458333333333334
121,3.1805555555555536
122,-0.4627062706270628
123,-0.09090909090909172
124,
125,
126,
127,-3.2819892473118237
128,
129,
130,8.5
131,
132,-6.369696969696969
133,
134,-4.833333333333332
135,0.1607142857142847
136,-5.163218390804596
137,2.49601449275362
138,-2.5
139,-1.8049886621315174
140,4.710344827586207
141,-0.7203174603174602
142,
143,7.5
144,3.9561403508771935
145,
146,4.75
147,4.384791838097621
148,
149,
150,
151,-1.546415385380902
152,
153,
154,-2.3333333333333357
155,
156,-0.6696236559139805
157,2.150000000000002
158,1.703525137595932
159,
160,
161,
162,2.958333333333332
163,
164,
165,2.525522648083623
166,3.131373353939278
167,
168,-1.9761904761904763
169,-3.5739316239316246
170,-2.5535639412997924
171,
172,
173,
174,
175,
176,
177,
178,2.5
179,
