,SvGms
0,-0.764705882352942
1,0.12152777777777679
2,
3,1.3333333333333321
4,-4.4
5,-0.44444444444444464
6,-0.16561424686424608
7,1.0379475881261584
8,0.009440476190475167
9,
10,0.1786098310291866
11,-0.04057971014492523
12,-0.15660377358490685
13,-1.207236842105262
14,0.021143473570656823
15,-5.999999999999998
16,2.697619047619046
17,
18,0.9975925925925928
19,-0.16171679197995026
20,-0.8200396825396794
21,-0.27777777777777857
22,
23,2.2332565284178187
24,1.25
25,
26,-1.33
27,0.6333333333333329
28,-0.1904761904761898
29,
30,0.5580519480519452
31,-1.2083333333333321
32,-1.7759999999999998
33,4.333333333333332
34,-0.5286564625850332
35,-0.8251015134736033
36,0.8991379310344829
37,1.2360465116279062
38,
39,-0.92002730385083
40,0.14814814814814703
41,-1.9821611721611738
42,
43,0.20148729610754934
44,
45,
46,-0.1330687830687829
47,
48,1.6648979591836728
49,-0.05464285714285566
50,-0.15052083333333144
51,-0.4843088624338616
52,1.2599999999999998
53,1.2083333333333357
54,
55,0.14813451153657375
56,
57,0.26190476190476275
58,0.8083333333333336
59,1.44927536231884
60,0.5555555555555554
61,-1.6853070175438596
62,
63,-0.6597222222222232
64,
65,0.009440476190475167
66,
67,
68,0.1605116514691023
69,
70,
71,0.7777685492801769
72,
73,0.030899470899472092
74,1.0000840336134438
75,
76,-1.3914634146341438
77,1.8188405797101446
78,0.46513347763347923
79,
80,-0.8253968253968278
81,0.8527397260273997
82,
83,
84,0.9884615384615376
85,0.375
86,
87,-0.5238095238095255
88,
89,
90,
91,12.0
92,0.5562500000000021
93,
94,
95,0.5520833333333321
96,
97,1.8392857142857153
98,-0.35913590155163533
99,-1.5422222222222235
100,-0.08418109668109963
101,-0.6851341991342004
102,-0.4112570028011202
103,2.0982142857142883
104,
105,
106,1.2427777777777766
107,
108,
109,
110,-0.8643488455988422
111,-1.3189075630252098
112,-2.1799582918566873
113,
114,
115,-0.09803921568627239
116,
117,
118,-0.08668735394399185
119,
120,0.9010416666666661
121,2.3472222222222214
122,1.4516973125884025
123,-3.8636363636363633
124,
125,
126,
127,0.9938172043010738
128,
129,
130,7.5
131,
132,-3.2939393939393966
133,
134,-1.6500000000000021
135,0.11309523809523725
136,-0.4971264367816097
137,-0.9159420289855067
138,0.0
139,0.07747371675942993
140,1.7379310344827577
141,-1.8432539682539684
142,
143,7.5
144,1.583771929824561
145,
146,3.895833333333332
147,0.1708680667358351
148,
149,
150,
151,0.010552570035327946
152,
153,
154,-1.3333333333333321
155,
156,-0.7489247311827967
157,-0.16959064327485507
158,0.12418591732751239
159,
160,
161,
162,0.375
163,
164,
165,0.552177700348432
166,0.11431817937903155
167,
168,-0.7907142857142873
169,0.4013431013431017
170,-0.32149970050913623
171,
172,
173,
174,
175,
176,
177,
178,-1.8333333333333321
179,
180,-0.8529761904761912
181,1.2870370370370363
182,
183,
184,6.916666666666668
185,
186,
187,
188,
189,
190,0.12925925925925874
191,0.2904341736694711
192,
193,
194,-0.8333333333333321
195,
196,-1.601234567901237
197,-0.8490555211983786
198,
199,-0.2067141752648496
200,0.2656415343915324
201,0.9262333762333785
202,
203,
204,
205,
206,10.0
207,-0.05744047619047521
208,1.07144909688013
209,
210,
211,2.122247023809525
212,
213,
214,
215,-1.3322916666666664
216,
217,0.4850108225108247
218,
219,1.0379475881261584
220,2.5
221,
222,0.3247950819672134
223,
224,-1.6111111111111125
225,-0.027642276422763956
226,0.2467309145880563
227,-8.0
228,
229,
230,1.5279712301587303
231,0.8393710918710902
232,3.194047619047616
233,
234,
235,0.12869229444557284
236,-0.9519607843137265
237,-0.7002906326849985
238,
239,2.666666666666666
240,0.25
241,-1.697916666666666
242,
243,
244,
245,
246,
247,0.6111111111111107
248,
249,
250,-1.4906349206349212
251,
252,0.36990460769086475
253,
254,14.5
255,
256,
257,
258,1.498382173382172
259,
260,-3.166666666666668
261,-0.6002506265664156
262,
263,
264,0.09995060495060493
265,1.7777777777777768
266,
267,-0.07843137254901933
268,0.2111111111111139
269,0.20417555081734307
270,
271,
272,
273,0.05688657407407405
