,ace
0,-0.5686274509803928
1,-1.4201388888888893
2,
3,5.166666666666666
4,-5.8
5,5.936507936507937
6,0.7826857170607164
7,0.2075657081014226
8,-2.1359642857142855
9,
10,3.370660522273426
11,-0.22246376811594182
12,4.346698113207547
13,-10.272587719298244
14,0.2597318539066098
15,-4.666666666666667
16,5.4904761904761905
17,
18,2.712407407407407
19,1.7421428571428565
20,-5.212878787878788
21,-6.1309523809523805
22,
23,4.100076804915513
24,4.916666666666667
25,
26,-1.357777777777778
27,-2.8725000000000005
28,1.5654761904761907
29,
30,-2.3295887445887447
31,4.708333333333334
32,-5.0153333333333325
33,-3.333333333333334
34,0.07448979591836746
35,-6.758494832041344
36,3.95919540229885
37,8.151550387596899
38,
39,-0.9384036442859975
40,3.500000000000001
41,-6.490109890109888
42,
43,2.6858339269731664
44,
45,
46,-1.613492063492063
47,
48,8.218707482993196
49,-0.04408730158730112
50,0.5177083333333332
51,-0.031134259259260055
52,4.066666666666666
53,0.625
54,
55,1.5880584192439864
56,
57,-3.0850340136054424
58,0.48381519274376394
59,3.3478260869565215
60,3.611111111111111
61,-5.439536340852129
62,
63,-0.27083333333333304
64,
65,-2.1359642857142855
66,
67,
68,-0.13548632218844903
69,
70,
71,4.680647840531561
72,
73,-0.7481746031746033
74,5.158277310924369
75,
76,-4.369512195121951
77,0.31521739130434767
78,0.526284271284271
79,
80,2.817460317460317
81,2.7906392694063924
82,
83,
84,4.043241758241759
85,-4.75
86,
87,-1.9880952380952386
88,
89,
90,
91,6.0
92,3.156249999999999
93,
94,
95,2.07673611111111
96,
97,3.133928571428571
98,1.2131086142322083
99,2.1799999999999997
100,-0.25407647907647846
101,-3.9007715247715242
102,-1.2754551820728288
103,8.695578231292519
104,
105,
106,6.296111111111111
107,
108,
109,
110,0.7067009379509361
111,-1.3170401493930903
112,-1.0999365632386997
113,
114,
115,2.7888655462184873
116,
117,
118,-1.27112592422327
119,
120,1.84375
121,10.263888888888888
122,1.318953323903818
123,-1.4393939393939403
124,
125,
126,
127,-4.178494623655915
128,
129,
130,3.5
131,
132,-5.284848484848484
133,
134,-1.5666666666666664
135,-0.26190476190476186
136,-6.101724137931035
137,-5.071739130434784
138,-0.75
139,0.2798082869511429
140,13.86551724137931
141,-3.49297619047619
142,
143,4.0
144,2.5438596491228065
145,
146,2.3125
147,-0.4971053510309691
148,
149,
150,
151,4.649806936358659
152,
153,
154,-8.333333333333334
155,
156,-2.8430107526881714
157,1.1634502923976613
158,-1.1729577698604263
159,
160,
161,
162,-0.4166666666666665
163,
164,
165,0.0016260162601628991
166,-4.267277064082337
167,
168,-0.5882363315696644
169,1.968498168498169
170,3.9532382449835284
171,
172,
173,
174,
175,
176,
177,
178,-1.0
179,
180,-0.6071428571428572
181,-0.45061728395061795
182,
183,
184,5.333333333333334
185,
186,
187,
188,
189,
190,-1.2494444444444452
191,-0.6353641456582637
192,
193,
194,-5.686274509803921
195,
196,-3.3851851851851853
197,-5.058619872191301
198,
199,-5.461204584060715
200,8.290046296296296
201,3.0600600600600596
202,
203,
204,
205,
206,3.0
207,-2.4985119047619055
208,1.4920977011494254
209,
210,
211,6.815178571428571
212,
213,
214,
215,-3.4972656249999994
216,
217,0.5143939393939387
218,
219,0.2075657081014226
220,1.75
221,
222,0.4058222742648967
223,
224,0.729166666666667
225,2.226771196283391
226,1.7142006802721097
227,-6.0
228,
229,
230,-0.28873511904761795
231,5.0334603976270635
232,14.25515873015873
233,
234,
235,5.046649968031687
236,-0.25359477124183005
237,-2.511284372904091
238,
239,0.4166666666666665
240,2.291666666666668
241,-0.41666666666666696
242,
243,
244,
245,
246,
247,0.901234567901235
248,
249,
250,-1.3968253968253967
251,
252,-1.5183503519381378
253,
254,3.5
255,
256,
257,
258,11.181868131868136
259,
260,-6.666666666666667
261,-0.07493734335839619
262,
263,
264,0.7187920412920414
265,-0.15555555555555545
266,
267,1.7254901960784315
268,0.08888888888888857
269,3.478464818763327
270,
271,
272,
273,3.1832175925925927
274,-0.40379739858906305
275,-4.382410106899902
276,
277,-1.3571428571428577
278,2.209770114942529
279,-1.4998045486851463
280,-2.0270202020202044
281,-2.1275000000000004
282,
283,2.319444444444445
284,-0.2984453781512624
285,4.6059708428826065
286,-0.8995934959349583
287,
288,
289,5.537037037037038
290,7.3125
291,
292,-0.7770592020592018
293,-1.3589743589743586
294,-1.0976596699285777
295,-3.864999787793905
296,1.780357142857143
297,
298,-2.1101190476190474
299,
300,
301,
302,7.9343492008133945
303,-10.737373737373739
304,2.8505632360471074
305,-3.291666666666667
306,6.727834467120182
307,0.06380208333333348
308,
309,
310,4.0
311,
312,
313,-2.348484848484848
314,
315,
316,-2.833333333333333
317,
