,bpFaced
0,0.5588235294117645
1,-0.6041666666666661
2,
3,-4.999999999999999
4,-2.000000000000001
5,-1.404761904761905
6,0.46103792041292113
7,0.655575139146567
8,-0.8514285714285714
9,
10,-2.6278801843317963
11,2.7981884057971005
12,-1.1805031446540877
13,0.9361842105263154
14,-0.5343966712898744
15,-2.0
16,-0.7071428571428555
17,
18,-0.9327777777777779
19,-1.7070217209690899
20,2.5346801346801344
21,3.2817460317460325
22,
23,-2.911904761904763
24,-0.5277777777777768
25,
26,2.112222222222221
27,1.461666666666667
28,-2.6785714285714306
29,
30,0.8532251082251072
31,-4.083333333333332
32,-1.206666666666666
33,5.0
34,0.11992630385487679
35,3.233693244739756
36,-1.4971264367816088
37,-0.3488372093023244
38,
39,0.07540531364060765
40,-1.8148148148148149
41,0.9749084249084259
42,
43,-1.7091470765521395
44,
45,
46,-1.0999999999999988
47,
48,-0.6177551020408156
49,-1.157976190476191
50,0.04635416666666714
51,-0.6527281746031752
52,-2.2666666666666666
53,-0.47499999999999964
54,
55,0.873707249222714
56,
57,2.683673469387755
58,-0.4580215419501137
59,-1.9347826086956523
60,0.9444444444444438
61,0.3654448621553881
62,
63,-0.1527777777777768
64,
65,-0.8514285714285714
66,
67,
68,2.067147922998987
69,
70,
71,-2.074307862679955
72,
73,0.41436507936507994
74,-1.1692717086834739
75,
76,-1.786585365853659
77,0.8949275362318838
78,-0.19362554112554164
79,
80,-1.2936507936507926
81,-0.37557077625570656
82,
83,
84,-0.6815018315018309
85,3.0
86,
87,1.5595238095238102
88,
89,
90,
91,5.5
92,0.9624999999999995
93,
94,
95,-0.24062499999999876
96,
97,-2.3125
98,-0.5485464597824157
99,-1.964444444444445
100,1.2654761904761909
101,-1.9749442039442027
102,1.207913165266108
103,-3.9532312925170077
104,
105,
106,0.6727777777777781
107,
108,
109,
110,-0.17263257575757596
111,-1.0579365079365095
112,-1.6022441759072774
113,
114,
115,-4.2703081232493005
116,
117,
118,1.1915680190016475
119,
120,0.838541666666667
121,-5.208333333333333
122,-1.551909476661952
123,-3.0909090909090917
124,
125,
126,
127,2.5801075268817204
128,
129,
130,4.5
131,
132,1.3530303030303026
133,
134,-3.6166666666666663
135,1.0
136,1.0741379310344827
137,-1.6894927536231874
138,2.0
139,-1.085941043083901
140,-2.2379310344827585
141,-0.23543650793650794
142,
143,2.0
144,0.25614035087719156
145,
146,1.6875
147,0.8350703015992265
148,
149,
150,
151,-0.7936808976464156
152,
153,
154,-2.666666666666667
155,
156,2.618010752688173
157,-1.5625730994152045
158,-0.1446018337611239
159,
160,
161,
162,-2.5
163,
164,
165,1.0488966318234603
166,3.376102471639998
167,
168,-1.262601410934744
169,1.0014652014652023
170,0.4933587900569041
171,
172,
173,
174,
175,
176,
177,
178,-4.333333333333334
179,
180,-0.4446428571428598
181,0.7469135802469129
182,
183,
184,1.0
185,
186,
187,
188,
189,
190,-0.0769259259259254
191,-0.6311157796451905
192,
193,
194,1.1078431372549025
195,
196,1.7055555555555557
197,1.588019652305368
198,
199,2.6644733760609043
200,-1.028902116402115
201,-0.3830330330330325
202,
203,
204,
205,
206,8.0
207,0.8139880952380958
208,-1.7588054187192128
209,
210,
211,0.09713541666666714
212,
213,
214,
215,1.1507812499999996
216,
217,0.19329004329004285
218,
219,0.655575139146567
220,0.5
221,
222,-1.431472807702316
223,
224,-1.333333333333334
225,1.446399535423927
226,-0.7116055681531872
227,-9.0
228,
229,
230,1.181443452380952
231,0.6585646143979469
232,-3.1265873015873025
233,
234,
235,-2.1338250866075654
236,-1.8196078431372547
