,bpSaved
0,-0.39215686274509753
1,-0.2638888888888893
2,
3,-4.666666666666667
4,-1.7999999999999998
5,0.3095238095238093
6,0.3675435675435672
7,0.40533317872603547
8,-0.36448809523809444
9,
10,-1.8945468509984642
11,1.5036231884057973
12,-0.07783018867924518
13,0.3421052631578938
14,-0.34490676529511477
15,-2.3333333333333335
16,-0.5952380952380958
17,
18,-0.529074074074074
19,-0.7811111111111102
20,1.2551827801827806
21,1.4801587301587298
22,
23,-0.8377880184331796
24,-0.5277777777777777
25,
26,1.1155555555555554
27,0.9049999999999998
28,-1.1904761904761907
29,
30,0.31857142857142895
31,-0.08333333333333304
32,-1.055333333333333
33,3.0
34,-0.071938775510203
35,1.5148763381321526
36,-0.7152298850574712
37,0.10503875968992205
38,
39,-0.4207820501938144
40,-0.25925925925925863
41,-0.12326007326007371
42,
43,-0.7157748369773693
44,
45,
46,-0.9441798941798938
47,
48,0.3342857142857145
49,-0.4636210317460323
50,0.41041666666666643
51,-0.21000330687830715
52,-1.4400000000000004
53,-1.0499999999999998
54,
55,0.8561446571755851
56,
57,2.2244897959183674
58,-0.30508314436885753
59,-1.166666666666667
60,2.5
61,-0.5554824561403513
62,
63,-0.5069444444444442
64,
65,-0.36448809523809444
66,
67,
68,1.0071428571428562
69,
70,
71,-1.0459856035437425
72,
73,0.07394179894179942
74,-0.2766666666666673
75,
76,-1.3300813008130072
77,0.42753623188405676
78,0.04271645021645032
79,
80,-0.4841269841269833
81,0.04246575342465775
82,
83,
84,-0.11771062271062238
85,2.0
86,
87,0.5476190476190466
88,
89,
90,
91,1.5
92,0.4958333333333327
93,
94,
95,-0.4715277777777773
96,
97,-0.026785714285714413
98,-0.4665150704476546
99,-0.8266666666666671
100,0.545120851370851
101,-0.939968734968736
102,1.0380077030812322
103,-1.4277210884353737
104,
105,
106,0.7311111111111117
107,
108,
109,
110,-0.014565295815295087
111,-0.533986928104575
112,-1.1111017869039257
113,
114,
115,-2.274159663865546
116,
117,
118,0.48997241696356664
119,
120,0.6145833333333339
121,-3.2361111111111107
122,-0.9158730158730153
123,-1.8030303030303032
124,
125,
126,
127,1.2693548387096771
128,
129,
130,2.5
131,
132,0.1393939393939405
133,
134,-1.8000000000000003
135,0.8035714285714288
136,0.30459770114942586
137,-1.1847826086956523
138,0.0
139,-0.5176458462172744
140,-0.18275862068965498
141,-0.2824206349206353
142,
143,0.0
144,1.023245614035087
145,
146,0.916666666666667
147,0.4182047750229567
148,
149,
150,
151,-0.4205652584962931
152,
153,
154,-1.3333333333333335
155,
156,1.6575268817204303
157,-1.1766081871345029
158,-0.10621352590379196
159,
160,
161,
162,-0.8541666666666661
163,
164,
165,0.6122822299651567
166,1.7545665775888906
167,
168,-0.645987654320987
169,0.8515262515262516
170,0.3487271638215024
171,
172,
173,
174,
175,
176,
177,
178,-3.833333333333333
179,
180,-0.293452380952381
181,0.10493827160493918
182,
183,
184,2.166666666666666
185,
186,
187,
188,
189,
190,-0.1221851851851854
191,-0.4781139122315601
192,
193,
194,0.07352941176470562
195,
196,1.1987654320987655
197,0.7814227307084454
198,
199,1.2656074258838257
200,-0.06134259259259256
201,-0.06229086229086178
202,
203,
204,
205,
206,5.5
207,-0.3755952380952383
208,-1.1354679802955672
209,
210,
211,0.3225074404761905
212,
213,
214,
215,0.01979166666666643
216,
217,0.016558441558441217
218,
219,0.40533317872603547
220,-0.5
221,
222,-0.6827380952380944
223,
224,-0.3472222222222232
225,0.48281068524970916
226,-0.0709687578735183
227,-5.0
228,
229,
230,1.0774255952380956
231,0.032672358505692056
232,-1.1623015873015863
233,
234,
235,-1.1052428034654018
236,-1.2522875816993468
237,0.5747093673150019
238,
239,-0.33333333333333304
240,1.9166666666666667
241,-0.2604166666666661
242,
243,
244,
245,
246,
247,1.493827160493828
248,
249,
250,-0.1500000000000008
251,
252,0.6186615335470305
253,
254,4.0
255,
256,
257,
258,-0.2778998778998778
259,
260,0.9999999999999996
261,-1.702756892230577
262,
263,
264,0.0672552447552448
265,0.7166666666666668
266,
267,-1.8235294117647056
268,0.25
269,0.1960732054015626
270,
271,
272,
273,-0.2825727513227516
274,0.5913470017636695
275,-0.4013605442176873
276,
277,1.285714285714286
278,1.0862068965517242
279,0.4004442075337584
280,-0.3060142682987501
281,0.5991666666666662
282,
283,1.7777777777777768
284,-0.7770308123249299
285,-1.7983372060945588
286,-0.07357723577235742
287,
288,
289,-1.9814814814814818
290,-0.9375
291,
292,0.5766409266409269
293,-1.6282051282051277
294,0.17879636703166168
295,0.8883818547181725
296,-0.6312499999999996
297,
298,0.9940476190476186
299,
300,
301,
302,-1.5552601431437743
303,0.7373737373737375
304,-2.1582885304659496
305,-2.375
306,-0.7154724111866968
307,-1.040625
308,
309,
