,df
0,-3.0784313725490193
1,-0.40625
2,
3,-0.8333333333333339
4,1.0
5,-0.07142857142857162
6,-1.2660884254634257
7,0.06539192949907235
8,1.1276785714285715
9,
10,1.1354454685099846
11,-0.206159420289854
12,-0.5544025157232708
13,-0.19627192982456165
14,0.6396671289875173
15,-1.0
16,0.19047619047619113
17,
18,0.13166666666666638
19,-0.3828905597326653
20,1.5277236652236654
21,-3.7420634920634925
22,
23,-0.9623655913978495
24,0.05555555555555536
25,
26,-0.023333333333333428
27,-0.8616666666666666
28,-1.0357142857142856
29,
30,-1.2482467532467534
31,-3.916666666666666
32,0.21399999999999997
33,3.6666666666666665
34,0.21680839002267538
35,1.617335732742709
36,0.11235632183908084
37,4.196511627906977
38,
39,0.6610000565882919
40,0.055555555555556246
41,-2.594761904761904
42,
43,0.4343767695033529
44,
45,
46,-1.3925925925925924
47,
48,0.7365986394557829
49,-0.5081746031746026
50,0.8677083333333333
51,-2.4964120370370373
52,0.8399999999999999
53,-0.00833333333333286
54,
55,0.9478767795778107
56,
57,1.1530612244897962
58,-0.953665910808768
59,-0.11594202898550776
60,-1.1111111111111107
61,-1.626817042606517
62,
63,-1.3680555555555545
64,
65,1.1276785714285715
66,
67,
68,-0.21013171225937155
69,
70,
71,1.1763289036544848
72,
73,-1.4783730158730162
74,-0.6899019607843142
75,
76,-3.23089430894309
77,0.44927536231884035
78,1.6563888888888885
79,
80,-0.14285714285714235
81,0.5042237442922382
82,
83,
84,-0.5345421245421242
85,1.0
86,
87,1.6190476190476193
88,
89,
90,
91,3.5
92,1.8875000000000006
93,
94,
95,1.73125
96,
97,-1.9464285714285712
98,-1.3842607454967006
99,0.6266666666666665
100,0.005555555555555536
101,-1.448403078403078
102,0.023214285714285854
103,0.14243197278911612
104,
105,
106,0.984444444444444
107,
108,
109,
110,0.6164231601731598
111,0.2408963585434174
112,-2.900096585925462
113,
114,
115,-1.0388655462184873
116,
117,
118,1.3769394322491668
119,
120,2.28125
121,-2.680555555555555
122,1.2994931636020737
123,-3.7272727272727275
124,
125,
126,
127,2.6803763440860218
128,
129,
130,3.5
131,
132,0.019696969696969546
133,
134,-1.25
135,0.2380952380952377
136,-3.128735632183907
137,-3.1615942028985504
138,0.0
139,0.7201504844361977
140,-0.796551724137931
141,-1.546246031746032
142,
143,1.5
144,2.4035087719298236
145,
146,0.75
147,-0.9350574815450856
148,
149,
150,
151,0.050283624421555206
152,
153,
154,-5.666666666666667
155,
156,-0.12419354838709706
157,1.1046783625730994
158,-1.087652760219132
159,
160,
161,
162,-0.9791666666666665
163,
164,
165,1.2445412311265969
166,0.7296655827081788
167,
168,1.378333333333333
169,-1.0272893772893772
170,-0.15485923929320133
171,
172,
173,
174,
175,
176,
177,
