,h2h
0,1.0
1,1.0
2,0.0
3,1.0
4,1.0
5,0.3333333333333333
6,0.75
7,0.2857142857142857
8,0.5
9,0.5
10,0.0
11,1.0
12,0.5
13,1.0
14,1.0
15,0.0
16,0.0
17,1.0
18,0.0
19,0.6666666666666666
20,0.0
21,0.0
22,0.0
23,1.0
24,1.0
25,0.5
26,0.0
27,0.5
28,1.0
29,0.6666666666666666
30,0.0
31,1.0
32,0.0
33,0.3333333333333333
34,0.6
35,0.3333333333333333
36,1.0
37,0.6666666666666666
38,0.0
39,0.0
40,0.0
41,0.5
42,0.0
43,0.5
44,0.5
45,0.0
46,0.0
47,0.6666666666666666
48,1.0
49,0.6
50,0.3333333333333333
51,0.5
52,1.0
53,1.0
54,0.5
55,1.0
56,0.8333333333333334
57,0.0
58,1.0
59,0.0
60,1.0
61,0.0
62,0.0
63,1.0
64,1.0
65,0.5
66,0.0
67,0.5
68,0.0
69,1.0
70,0.5
71,1.0
72,0.5
73,0.6
74,0.0
75,0.25
76,0.0
77,0.5
78,0.45454545454545453
79,1.0
80,1.0
81,0.5
82,0.75
83,0.5
84,0.5
85,1.0
86,0.5
87,0.0
88,0.4
89,0.5
90,0.42857142857142855
91,0.0
92,1.0
93,0.6
94,0.42857142857142855
95,0.5
96,0.6666666666666666
97,0.0
98,0.4
99,1.0
100,0.25
101,0.3333333333333333
102,0.5
103,1.0
104,0.0
105,1.0
106,0.0
107,0.5
108,0.75
109,0.5
110,0.0
111,0.75
112,0.6666666666666666
113,0.5
114,0.2
115,1.0
116,0.0
117,0.75
118,0.5
119,0.4
120,0.0
121,1.0
122,0.4444444444444444
123,0.0
124,0.5714285714285714
125,0.0
126,1.0
127,0.0
128,0.6666666666666666
129,0.0
130,1.0
131,0.75
132,0.0
133,0.5555555555555556
134,0.3333333333333333
135,0.6666666666666666
136,1.0
137,1.0
138,1.0
139,0.6
140,0.0
141,0.0
142,1.0
143,0.0
144,1.0
145,1.0
146,1.0
147,0.6666666666666666
148,0.14285714285714285
149,0.6666666666666666
150,1.0
151,0.5294117647058824
152,0.0
153,0.5
154,1.0
155,1.0
156,0.0
157,0.3333333333333333
158,0.5
159,1.0
160,0.6666666666666666
161,0.0
162,0.0
163,0.5
164,0.6
165,0.5
166,0.0
167,0.42857142857142855
168,0.0
169,0.0
170,0.5
171,1.0
172,0.0
173,0.0
174,1.0
175,0.6666666666666666
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,0.0
183,0.0
