,svpt
0,-5.431372549019613
1,-3.305555555555557
2,
3,-3.3333333333333286
4,-30.800000000000004
5,-2.912698412698404
6,0.7124670468420362
7,7.3994952071738
8,-1.550630952380942
9,
10,-3.731528417818737
11,3.5148550724637744
12,-0.5001572327043959
13,-5.821929824561423
14,-0.701679765757433
15,-37.0
16,14.183333333333323
17,
18,3.714999999999989
19,-2.2427610693400055
20,0.24780543530543753
21,4.369047619047606
22,
23,9.709216589861754
24,-2.2777777777777857
25,
26,-3.7366666666666646
27,5.268333333333345
28,-6.285714285714292
29,
30,5.54932900432901
31,-9.333333333333343
32,-9.728666666666683
33,31.333333333333336
34,-3.6809240362811835
35,-0.4216823551125799
36,3.400862068965509
37,7.565891472868216
38,
39,-7.315407577172294
40,2.925925925925924
41,-10.7841391941392
42,
43,-1.1923164739620518
44,
45,
46,-1.415873015873018
47,
48,11.29190476190476
49,-0.8479861111111262
50,-1.6859374999999943
51,-1.538095238095238
52,1.7600000000000051
53,3.308333333333323
54,
55,2.2193667157584542
56,
57,3.445578231292501
58,4.479421768707482
59,4.365942028985501
60,6.111111111111114
61,-10.35382205513784
62,
63,-5.513888888888886
64,
65,-1.550630952380942
66,
67,
68,4.197441742654519
69,
70,
71,1.127519379844955
72,
73,0.008452380952377325
74,5.262647058823546
75,
76,-11.229268292682946
77,9.1159420289855
78,3.10369408369408
79,
80,-9.031746031746039
81,5.899429223744292
82,
83,
84,7.038315018315004
85,4.25
86,
87,-5.464285714285722
88,
89,
90,
91,68.5
92,2.57916666666668
93,
94,
95,0.7267361111111086
96,
97,18.76785714285714
98,-4.527175851614075
99,-8.775555555555542
100,1.7209595959595987
101,-7.92843578643577
102,1.3986344537815256
103,4.452806122448976
104,
105,
106,8.870000000000005
107,
108,
109,
110,-3.8235750360750274
111,-9.217880485527544
112,-15.499023594745523
113,
114,
115,-11.316876750700288
116,
117,
118,1.6403459372485827
119,
120,5.234375
121,6.7638888888889
122,6.060207449316366
123,-29.0151515151515
124,
125,
126,
127,8.314247311827955
128,
129,
130,48.0
131,
132,-17.900000000000006
133,
134,-16.08333333333333
135,2.5238095238095184
136,-2.3902298850574795
137,-10.84347826086956
138,0.25
139,-1.49740775097915
140,8.162068965517236
141,-9.467309523809519
142,
143,40.5
144,13.435526315789474
145,
146,20.958333333333343
147,1.8838631295243005
148,
149,
150,
151,-1.52467557346867
152,
153,
154,-18.000000000000007
155,
156,2.0021505376344066
